City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
275,Takapau,-40.0333,176.35,44.73,overcast clouds,98,100,4.16,NZ
276,Galesong,-5.3166,119.3661,77.02,light rain,83,87,6.73,ID
277,Usinsk,65.9939,57.5281,29.46,light snow,98,100,12.28,RU
278,Trat,12.5,102.5,82.98,overcast clouds,91,100,1.83,TH
279,Agadez,19.75,10.25,88.27,clear sky,13,0,7.61,NE
280,Bagotville,-28.9833,153.4167,69.62,clear sky,98,9,2.91,AU
281,Barrancabermeja,7.0653,-73.8547,85.89,overcast clouds,64,96,2.01,CO
282,Upernavik,72.7868,-56.1549,17.13,overcast clouds,92,99,11.16,GL
283,Mangalam,9.7667,78.6667,83.53,scattered clouds,74,36,7.4,IN
284,Ahipara,-35.1667,173.1667,59.74,overcast clouds,93,100,20.78,NZ
285,Atbasar,51.8,68.3333,36.93,overcast clouds,96,100,19.48,KZ
286,Sitka,57.0531,-135.33,51.69,light rain,62,90,11.5,US
287,Anadyr,64.75,177.4833,18.1,mist,93,40,15.66,RU
288,Alekseyevsk,57.8406,108.3492,33.26,broken clouds,87,69,5.28,RU
289,Jurm,36.8648,70.8342,39.22,overcast clouds,81,98,2.19,AF
290,Palmerston,-12.486,130.9833,84.18,scattered clouds,79,33,5.75,AU
291,Linjiang,41.8069,126.9078,33.91,clear sky,75,0,1.25,CN
292,Cienfuegos,22.1461,-80.4356,86.14,scattered clouds,70,40,1.14,CU
293,Jaque,7.5175,-78.1703,81.09,light rain,80,95,10.13,PA
294,Souillac,-20.5167,57.5167,75.58,light rain,83,75,4.61,MU
295,Kerchevskiy,59.946,56.2884,45.37,overcast clouds,95,100,11.03,RU
296,Lulea,65.5842,22.1547,32.07,overcast clouds,80,90,11.5,SE
297,Abu Dhabi,24.4667,54.3667,87.91,clear sky,66,0,9.22,AE
298,Ust-Shonosha,61.1531,41.343,42.48,scattered clouds,76,35,11.92,RU
299,Campo Gobierno,24.6536,-107.5411,88.72,clear sky,72,1,0.0,MX
300,Evanston,42.0411,-87.6901,54.54,scattered clouds,58,40,1.01,US
301,Sangar,63.9242,127.4739,13.05,overcast clouds,97,100,5.08,RU
302,Chuy,-33.6971,-53.4616,70.63,clear sky,47,5,6.15,UY
303,Malanje,-9.5402,16.341,71.94,light rain,75,62,2.64,AO
304,Bonthe,7.5264,-12.505,81.57,light rain,78,100,11.21,SL
305,Sembe,1.6481,14.5806,75.16,light rain,88,93,1.48,CG
306,Antalaha,-14.9003,50.2788,74.97,broken clouds,92,84,1.23,MG
307,Valmiera,57.5411,25.4275,43.16,light rain,92,29,11.23,LV
308,Belyy Yar,53.6039,91.3903,40.89,overcast clouds,60,100,4.47,RU
309,Baykit,61.67,96.37,35.91,overcast clouds,91,100,4.12,RU
310,Amahai,-3.3333,128.9167,77.97,overcast clouds,85,99,2.04,ID
311,Nanortalik,60.1432,-45.2371,38.89,moderate rain,98,100,5.01,GL
312,Ngunguru,-35.6167,174.5,59.16,overcast clouds,90,100,24.34,NZ
313,Naze,28.3667,129.4833,64.9,broken clouds,63,64,16.78,JP
314,Kushiro,42.975,144.3747,40.98,scattered clouds,92,40,5.1,JP
315,Fort Saint James,54.4333,-124.25,45.25,overcast clouds,78,100,4.32,CA
316,Peniche,39.3558,-9.3811,71.55,clear sky,73,0,18.32,PT
317,Nilai,2.8169,101.7956,82.08,few clouds,88,20,1.14,MY
318,Hong Gai,20.956,107.0946,66.11,overcast clouds,73,100,4.16,VN
319,Canton,23.1167,113.25,64.99,broken clouds,60,74,10.22,CN
320,Balykshi,47.0667,51.8667,50.0,mist,87,10,11.18,KZ
321,Trelew,-43.249,-65.3051,67.96,clear sky,13,1,5.46,AR
322,Ghedi,45.4011,10.2793,65.75,mist,76,16,1.14,IT
323,Kabanjahe,3.1001,98.4908,63.36,overcast clouds,98,100,1.59,ID
324,Talavera De La Reina,39.9635,-4.8308,66.61,clear sky,33,3,6.26,ES
325,Poum,-20.2333,164.0167,73.85,clear sky,78,1,8.93,NC
326,Mandalgovi,45.7625,106.2708,34.56,scattered clouds,35,49,7.54,MN
327,Goure,13.9835,10.2704,95.02,scattered clouds,26,30,11.63,NE
328,College,64.8569,-147.8028,27.59,broken clouds,86,75,0.0,US
329,Srandakan,-7.9386,110.2506,62.73,light rain,89,100,5.39,ID
330,Deputatskiy,69.3,139.9,-11.43,overcast clouds,100,95,1.1,RU
331,Mujiayingzi,42.1167,118.7833,38.59,clear sky,44,0,5.08,CN
332,Mogadishu,2.0371,45.3438,80.01,light rain,79,54,9.75,SO
333,Sao Miguel Do Araguaia,-13.275,-50.1628,85.91,overcast clouds,55,96,0.92,BR
334,Vaikam,9.7667,76.4,80.62,overcast clouds,88,93,2.86,IN
335,Longyearbyen,78.2186,15.6401,19.24,broken clouds,73,75,3.44,SJ
336,Marzuq,14.4,46.4667,76.95,few clouds,50,23,7.02,YE
337,Wewak,-3.5534,143.6268,77.61,broken clouds,86,83,3.91,PG
338,Sergeyevka,53.88,67.4158,40.87,overcast clouds,87,100,18.34,KZ
339,Diourbel,14.6628,-16.3925,102.18,clear sky,15,0,4.61,SN
340,Mandan,46.8267,-100.8896,48.36,scattered clouds,75,40,8.05,US
341,Caraballeda,10.6112,-66.8522,90.37,overcast clouds,65,85,11.59,VE
342,Henties Bay,-22.116,14.2845,64.85,clear sky,78,4,8.37,NA
343,North Bend,43.4065,-124.2243,54.91,mist,97,90,6.91,US
344,Naryan-Mar,67.6713,53.087,28.22,overcast clouds,97,99,7.05,RU
